Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,70,495.62,629.55,44068.5,9374.85,27.02,-2.27
ADROITINFO,457,19.89,24.21,11063.97,1974.87,21.73,0.25
AGSTRA,500,46.15,96.7,48350.0,25275.0,109.53,3.15
AJMERA,1,278.2,459.55,459.55,181.35,65.19,-0.68
ALUFLUOR,75,228.03,529.45,39708.75,22606.4,132.18,-1.38
APCOTEXIND,25,293.03,503.5,12587.5,5261.65,71.82,0.15
ARIHANTCAP,205,28.08,70.6,14473.0,8716.6,151.42,0.0
AUBANK,1,0.0,799.5,799.5,799.5,0.0,0.29
BAJEL,200,117.08,129.95,25990.0,2574.25,10.99,12.85
BANKINDIA,700,45.59,118.85,83195.0,51280.0,160.68,0.17
BDL,50,324.49,1741.55,87077.5,70853.25,436.71,3.5
CAMS,17,2849.03,2748.15,46718.55,-1714.95,-3.54,1.47
CDSL,10,1389.28,1888.65,18886.5,4993.7,35.94,0.19
CELEBRITY,500,18.1,18.25,9125.0,75.0,0.83,0.88
CENTUM,12,477.07,1545.3,18543.6,12818.8,223.92,-2.37
COMPINFO-BZ,1331,12.58,9.2,12245.2,-4495.37,-26.85,1.66
CSBBANK,30,248.5,407.2,12216.0,4761.15,63.87,-0.51
CUB,290,122.71,153.15,44413.5,8828.5,24.81,-0.45
DALBHARAT,10,1414.0,2390.7,23907.0,9767.0,69.07,1.26
DANLAW,10,1066.0,1356.4,13564.0,2904.0,27.24,5.0
DATAMATICS,155,146.71,737.7,114343.5,91603.85,402.84,-0.23
DEEPAKFERT,55,631.45,684.65,37655.75,2926.25,8.43,-1.6
DIXON,7,2824.79,6378.4,44648.8,24875.25,125.8,-0.28
DREAMFOLKS,102,511.59,565.2,57650.4,5467.95,10.48,2.25
ELECTHERM-BE,100,53.6,264.85,26485.0,21125.0,394.12,1.98
EXPLEOSOL,10,925.76,1395.35,13953.5,4695.95,50.73,6.68
FINOLEXIND,200,123.62,237.35,47470.0,22746.05,92.0,8.7
FRONTSP,99,265.68,1050.0,103950.0,77647.45,295.21,-0.53
FSL,90,107.6,193.25,17392.5,7708.5,79.6,2.17
GABRIEL,200,103.32,400.95,80190.0,59525.15,288.05,-0.1
GENCON,1,32.25,41.0,41.0,8.75,27.13,0.02
GMM,18,1397.2,1580.65,28451.7,3302.1,13.13,1.76
GOACARBON,24,495.96,570.2,13684.8,1781.8,14.97,-0.03
GREAVESCOT,111,139.75,156.65,17388.15,1876.45,12.1,-2.97
GSFC,301,127.75,284.6,85664.6,47211.85,122.78,-2.35
GSS,1,232.0,185.15,185.15,-46.85,-20.19,-1.07
GUJTHEM,250,65.25,317.4,79350.0,63037.5,386.44,10.9
HAL,42,722.99,2999.05,125960.1,95594.6,314.81,3.21
HATSUN,15,766.7,1116.6,16749.0,5248.5,45.64,2.2
HSCL,150,76.61,387.2,58080.0,46589.25,405.45,6.0
HUDCO,300,33.67,127.7,38310.0,28208.5,279.25,-0.74
IBULHSGFIN,420,165.27,215.6,90552.0,21137.7,30.45,0.79
IDFCFIRSTB,225,56.45,86.7,19507.5,6806.25,53.59,-0.4
IFCI,643,11.19,29.82,19174.26,11979.09,166.49,0.71
IIFL,38,269.43,641.65,24382.7,14144.2,138.15,1.1
INDIANB,105,234.6,435.0,45675.0,21041.8,85.42,0.62
INDIANHUME,233,142.91,257.65,60032.45,26735.0,80.29,1.58
INDRAMEDCO-BE,300,59.4,183.45,55035.0,37215.0,208.84,0.52
IZMO-BE,50,85.0,263.7,13185.0,8935.0,210.24,3.51
JSWSTEEL,30,673.72,828.0,24840.0,4628.55,22.9,-1.06
JYOTIRES,15,1542.0,1539.15,23087.25,-42.75,-0.18,0.07
KAMATHOTEL,140,123.98,267.55,37457.0,20099.6,115.8,-1.36
KOLTEPATIL,80,242.96,558.0,44640.0,25203.45,129.67,-1.56
KRBL,200,180.64,376.35,75270.0,39141.85,108.34,0.83
