Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,70,495.62,644.7,45129,10435.35,30.08,0.2
ADROITINFO-BE,457,19.89,18.1,8271.7,-817.4,-8.99,0
AGSTRA,500,46.15,113,56500,33425,144.85,-0.31
AJMERA,1,278.2,600.5,600.5,322.3,115.85,4.33
ALUFLUOR,75,228.03,523.15,39236.25,22133.9,129.42,-0.8
APCOTEXIND,25,293.03,476.6,11915,4589.15,62.64,-1.36
ARIHANTCAP,205,28.08,77.6,15908,10151.6,176.35,2.17
AUBANK,1,0,629.15,629.15,629.15,0,-1.01
BAJEL,200,117.08,205.7,41140,17724.25,75.69,10
BANKINDIA,700,45.59,151.6,106120,74205,232.51,4.26
BDL,50,324.49,1760.2,88010,71785.75,442.46,3.32
CAMS,17,2849.03,2885.25,49049.25,615.75,1.27,0.18
CDSL,10,1389.28,1873.8,18738,4845.2,34.88,3.47
CELEBRITY,500,18.1,21.33,10665,1615,17.85,-1.98
CENTUM,12,477.07,1662.8,19953.6,14228.8,248.55,2.63
COMPINFO,1331,12.58,8.95,11912.45,-4828.12,-28.84,2.76
CSBBANK,30,248.5,392.75,11782.5,4327.65,58.05,1.49
CUB,290,122.71,137.25,39802.5,4217.5,11.85,-4.59
CYIENT,11,2150,2109.75,23207.25,-442.75,-1.87,8.8
DALBHARAT,10,1414,2259.1,22591,8451,59.77,-0.93
DANLAW,10,1066,2010,20100,9440,88.56,-4.11
DATAMATICS,155,146.71,693,107415,84675.35,372.37,2.24
DEEPAKFERT,55,631.45,574.05,31572.75,-3156.75,-9.09,-0.98
DIXON,7,2824.79,6237.8,43664.6,23891.05,120.82,1.85
DREAMFOLKS,102,511.59,550.3,56130.6,3948.15,7.57,-0.28
ELECTHERM-BE,100,53.6,384,38400,33040,616.42,1.99
EXPLEOSOL,10,925.76,1401.75,14017.5,4759.95,51.42,1.38
FINPIPE,200,123.62,217.7,43540,18816.05,76.1,-1.23
FRONTSP,99,265.68,1239,122661,96358.45,366.35,1.98
FSL,90,107.6,199.75,17977.5,8293.5,85.64,-1.04
GABRIEL,200,103.32,384.2,76840,56175.15,271.84,-0.29
GENCON,1,32.25,56.35,56.35,24.1,74.73,4.84
GMMPFAUDLR,18,1397.2,1512.3,27221.4,2071.8,8.24,-2.78
GOACARBON,24,495.96,718.85,17252.4,5349.4,44.94,-0.87
GREAVESCOT,111,139.75,166.6,18492.6,2980.9,19.22,0.85
GSFC,301,127.75,284.7,85694.7,47241.95,122.86,-1.47
GSS,1,232,173.8,173.8,-58.2,-25.09,5.33
GUJTHEM,250,65.25,338.55,84637.5,68325,418.85,4.98
HAL,42,722.99,2971.15,124788.3,94422.8,310.95,-0.81
HATSUN,15,766.7,1117.05,16755.75,5255.25,45.7,-0.72
HDFCBANK,20,1580.84,1446.85,28937,-2679.85,-8.48,-1.33
HSCL-BE,150,76.61,370.25,55537.5,44046.75,383.32,-0.09
HUDCO,300,33.67,208,62400,52298.5,517.73,0.8
IBULHSGFIN,420,165.27,189.55,79611,10196.7,14.69,-2.24
IDFCFIRSTB,225,56.45,82.59,18582.75,5881.5,46.31,-0.91
IFCI,643,11.19,60.37,38817.91,31622.74,439.5,-2.72
IIFL,38,269.43,598.25,22733.5,12495,122.04,-1.27
INDIANB,105,234.6,545.95,57324.75,32691.55,132.71,4.02
INDIANHUME,233,142.91,247.1,57574.3,24276.85,72.91,0.55
INDRAMEDCO,300,59.4,185.05,55515,37695,211.53,-0.46
IZMO,50,85,299,14950,10700,251.76,-0.33
JSWSTEEL,30,673.72,823.8,24714,4502.55,22.28,2.74
JYOTIRES,15,1542,1481.85,22227.75,-902.25,-3.9,-0.61
KAMATHOTEL,140,123.98,322.3,45122,27764.6,159.96,-1.41
KOLTEPATIL,80,242.96,492.3,39384,19947.45,102.63,-4.41
KRBL,200,180.64,360.35,72070,35941.85,99.48,-0.22
LAURUSLABS,200,306.81,392.6,78520,17157.15,27.96,0.86
LTIM,7,4543.7,5485.85,38400.95,6595.05,20.74,2.26
LTTS,10,3637.35,5524.65,55246.5,18873.05,51.89,0.31
MAPMYINDIA,10,1110.86,1851.8,18518,7409.4,66.7,0.92
MATRIMONY,65,511,550.75,35798.75,2583.75,7.78,-0.05
MEP,1750,12.16,16.05,28087.5,6807.5,31.99,0.63
MGL,25,1032.65,1476.95,36923.75,11107.5,43.03,0.92
MINDACORP,230,143.24,404.95,93138.5,60193.2,182.71,-0.15
NACLIND,100,77.05,74.35,7435,-270,-3.5,0.07
NATIONALUM,103,81.84,153,15759,7329.85,86.96,4.01
NIKHILAD,90,65,137.75,12397.5,6547.5,111.92,-1.75
NMDC,1,66.37,235.55,235.55,169.18,254.9,4.5
PARACABLES,1,12.4,106.15,106.15,93.75,756.05,3.11
PAYTM,110,616.08,487.2,53592,-14177.25,-20.92,-20
PCJEWELLER,400,27.63,53.9,21560,10510,95.11,0.26
PNCINFRA,89,280.6,445.3,39631.7,14658.4,58.7,1.29
POLICYBZR,90,434.13,982.85,88456.5,49385.25,126.4,-1.41
POLYCAB,4,3843.25,4383.9,17535.6,2162.6,14.07,2.76
POONAWALLA,60,207.74,467.7,28062,15597.7,125.14,-1.76
PRAKASH,180,53.75,213.85,38493,28818,297.86,-1.45
RAIN,450,146,179.85,80932.5,15232.5,23.18,3.24
RAYMOND,17,1194.55,1779.65,30254.05,9946.65,48.98,0.43
RBL,25,613.64,877.75,21943.75,6602.65,43.04,0.08
RGL,81,105.1,114.95,9310.95,797.65,9.37,1.01
RUBFILA,350,62.85,90.4,31640,9642.5,43.83,-1.47
SATIA,129,140.34,135.65,17498.85,-604.55,-3.34,-1.63
SEQUENT,401,69.3,139.7,56019.7,28230.4,101.59,3.06
SHARDACROP,20,459.94,383.75,7675,-1523.8,-16.57,-2.13
SMCGLOBAL,273,85.61,109,29757,6385.35,27.32,0.88
SONACOMS,29,446.25,630.35,18280.15,5339,41.26,0.17
STARHEALTH,80,551.46,573.8,45904,1787.45,4.05,-1.71
SUPERHOUSE,100,165,248.55,24855,8355.4,50.64,0.59
SWSOLAR,19,316.3,569.25,10815.75,4806.05,79.97,-0.7
TFCILTD,100,62.6,209.2,20920,14660,234.19,6.33
TGVSL,150,37.59,103.15,15472.5,9833.75,174.4,0.05
TRITURBINE,75,96.9,367.2,27540,20272.35,278.94,-1.61
TV18BRDCST-BE,200,27.5,62.15,12430,6930,126,1.47
UMANGDAIRY,200,60.88,82.35,16470,4295,35.28,0.86
VERTOZ-BE,200,92.55,715.35,143070,124560,672.93,-0.16
VISAKAIND,250,66.36,129.85,32462.5,15873.3,95.68,-3.56
WABAG,50,474.53,661.8,33090,9363.4,39.46,-2.02
WONDERLA,50,867.42,875.7,43785,413.95,0.95,1.2
XELPMOC,25,89,127,3175,950,42.7,1.84
ZEELEARN,750,3.45,6.68,5010,2422.5,93.62,-0.74
