Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
3IINFOLTD,250,52.25,56.9,14225,1162.5,8.9,-1.15
AARVEEDEN,500,24.95,35.6,17800,5325,42.69,5.64
AAVAS,17,1526.82,1484.05,25228.85,-727.14,-2.8,-1.38
ACE,50,228.76,950.2,47510,36072,315.37,-1.97
ADFFOODS,125,152.88,204.85,25606.25,6495.8,33.99,0.2
ADORWELD,26,763.53,1525.5,39663,19811.3,99.8,-7.66
ADVANIHOTR,1,58,156.35,156.35,98.35,169.57,0.74
AEGISCHEM,1,213.25,374.35,374.35,161.1,75.55,-3.74
AETHER,40,891.21,846,33840,-1808.45,-5.07,-2.32
AFFLE,22,952.15,1230.6,27073.2,6125.9,29.24,1.35
AGROPHOS,125,23.55,55.8,6975,4031.25,136.94,20
AGSTRA,300,95.9,113,33900,5130,17.83,-0.31
AHLADA,350,154.12,131,45850,-8092.5,-15,4.22
AJANTSOY,500,21.49,31.31,15655,4909,45.68,-2.25
AKSHARCHEM,25,353.95,278,6950,-1898.8,-21.46,0.91
ALICON,40,809.27,1005.75,40230,7859.1,24.28,1.35
ALKYLAMINE,8,2238.62,2308.65,18469.2,560.25,3.13,-2.31
ALLETEC-SM,800,250.5,314.35,251480,51080,25.49,-1.49
ALPA,200,51.5,103.23,20646,10346.15,100.45,2.64
AMBALALSA,1,34.55,59.04,59.04,24.49,70.88,0.31
AMBUJACEM,100,361.72,557.4,55740,19568.5,54.1,-1.35
AMJLAND,300,30.85,43.15,12945,3690,39.87,-0.96
AMNPLST,250,77.85,212.25,53062.5,33599.2,172.63,0.83
ANANTRAJ,50,66.4,321.95,16097.5,12777.5,384.86,2.58
ANGELONE,29,1200.02,3338.35,96812.15,62011.5,178.19,-0.61
ANUHPHR,200,96.45,174.3,34860,15570,80.72,0.06
APMIN,1200,42.42,70.76,84912,34007,66.8,-3.6
APTUS,743,250.28,370.05,274947.15,88991.1,47.86,-1.43
ARCHITORG,500,38.9,53.02,26510,7060,36.3,0.7
ARIES,100,170.72,281.1,28110,11037.65,64.65,-4.66
AROGRANITE,200,55.05,58.85,11770,760,6.9,-7
ASALCBR,140,325.9,475.1,66514,20888,45.78,-1.07
ASHOKA,809,77.33,176.3,142626.7,80064.45,127.98,-1.65
