Company name,BSE Code,Zerodha Code
All E Technologies Ltd,,ALLETEC-SM
ASL Industries Ltd,,ASL
Aurum PropTech Ltd Partly Paidup,890168,AURUMPP-E1
Beta Drugs Ltd,,BETA-SM
Emkay Taps & Cutting Tools Ltd,,EMKAY-BE
Geekay Wires Ltd,,GEEKAYWIRE-BE
GKW Ltd,,GKWLIMITED-BE
Kapston Services Ltd,,KAPSTON-BE
Marine Electricals (India) Ltd,,MARINE-BE
Motilal Oswal NASDAQ 100 ETF,533385,MON100
Nippon India ETF Nifty IT,,ITBEES
SKP Bearing Industries Ltd,,SKP-SM
Systango Technologies Ltd,,SYSTANGO-SM
V-Marc India Ltd,,VMARCIND-SM
