company_name,bse_code,zerodha_code,nse_code
ABM Knowledgeware Ltd,531161.0,ABMKNO,
Affordable Robotic & Automation Ltd,541402.0,AFFORDABLE,
Alok Industries Ltd,521070.0,ALOKTEXT,
Artson Engineering Ltd,522134.0,ARTSONEN,
ASL Industries Ltd,,ASLIND,ASLIND
Add-Shop E-Retail Ltd,541865.0,ASRL,
Aurum PropTech Ltd Partly Paidup,890168.0,AURUMPP-E1,
Avanti Feeds Ltd,512573.0,AVANTI,
Axtel Industries Ltd,523850.0,AXTEL,
B & A Packaging India Ltd,523186.0,BAPACK,
BCL Industries Ltd,524332.0,BCLIL,
Beekay Steel Industries Ltd,539018.0,BEEKAY,
Best Agrolife Ltd,539660.0,BESTAGRO,
Beta Drugs Ltd,,BETA-SM,
Bright Brothers Ltd,526731.0,BRIGHT-ST,
Caplin Point Laboratories Ltd,524742.0,CAPPL,
Chandra Prabhu International Ltd,530309.0,CHANDRAP,
Chemcrux Enterprises Ltd,540395.0,CHEMCRUX,
CMI Ltd,517330.0,CMICABLES-BZ,
Deepak Nitrite Ltd,506401.0,DEEPAKNI,
DHP India Ltd,531306.0,DHPIND,
Diana Tea Company Ltd,530959.0,DIANATEA,
Dr Agarwal's Eye Hospital Ltd,526783.0,DRAGARWQ,
Emkay Taps & Cutting Tools Ltd,,EMKAY-BE,
Excel Industries Ltd,500650.0,EXCEL-BE,
Finolex Industries Ltd,500940.0,FINOLEXIND,
John Cockerill India Ltd,500147.0,COCKERILL,
GEE Ltd,504028.0,GEE,
Geekay Wires Ltd,,GEEKAYWIRE,GEEKAYWIRE
Genpharmasec Ltd,531592.0,GENPHARMA,
Gensol Engineering Ltd,542851.0,GENSOL-BE,
GKW Ltd,,GKWLIMITED,GKWLIMITED
GMM Pfaudler Ltd,505255.0,GMM,
Godavari Drugs Ltd,530317.0,GODAVARI,
Golkunda Diamonds & Jewellery Ltd,523676.0,GOLKUNDIA,
Gujarat Gas Ltd,539336.0,GUJGAS,
Haldyn Glass Ltd,515147.0,HALDYNGL,
High Energy Batteries (India) Ltd,504176.0,HIGHENE,
Indostar Capital Finance Ltd,541336.0,INDOSTAR-BE,
Indraprastha Medical Corporation Ltd,532150.0,INDRAMEDCO-BE,
Indsil Hydro Power & Manganese Ltd,522165.0,INDSILHYD,
IL&FS Investment Managers Ltd,511208.0,IVC-BE,
Kanco Tea & Industries Ltd,541005.0,KANCOTEA,
Kapston Services Ltd,,KAPSTON-BE,
Kothari Fermentation & Biochem Ltd,507474.0,KFBL,
Khadim India Ltd,540775.0,KHADIM-BE,
3B Blackbio DX Ltd,532067.0,3BBLACKBIO,
KMC Speciality Hospitals (India) Ltd,524520.0,KMCSHIL,
KSE Ltd,519421.0,KSE,
Manaksia Coated Metals & Industries Ltd,539046.0,MNKCMILTD,
Marine Electricals (India) Ltd,,MARINE-BE,
MIC Electronics Ltd,532850.0,MICEL-BE,
MIRC Electronics Ltd,500279.0,MIRCELECTR-BE,
M K Exim (India) Ltd,538890.0,MKEXIM,
Modulex Construction Technologies Ltd,504273.0,MODULEX,
Motilal Oswal NASDAQ 100 ETF,533385.0,MON100,
Moschip Technologies Ltd,532407.0,MOSCHIP,
Muthoot Capital Services Ltd,511766.0,MUTHTFN,
NDL Ventures Ltd,500189.0,NDL-BE,
NRB Industrial Bearings Ltd,535458.0,NIBL-BE,
NILE Ltd,530129.0,NILE,
Oricon Enterprises Ltd,513121.0,ORICON,
Palash Securities Ltd,540648.0,PALASHSECU-BE,
Palred Technologies Ltd,532521.0,PALRED,
Patels Airtemp (India) Ltd,517417.0,PATELSAI,
Praveg Ltd,531637.0,PRAVEG,
Premier Polyfilm Ltd,514354.0,PREMIERPOL-BE,
Protean eGov Technologies Ltd,544021.0,PROTEAN,
RACL Geartech Ltd,520073.0,RACLGEAR,
RDB Rasayans Ltd,533608.0,RDBRL,
Resonance Specialities Ltd,524218.0,RESONANCE,
Rexnord Electronics & Controls Ltd,531888.0,REXNORD,
Samkrg Pistons & Rings Ltd,520075.0,SAMKRG,
Savera Industries Ltd,512634.0,SAVERA,
Shivalik Bimetal Controls Ltd,513097.0,SHBCLQ,
Shyam Century Ferrous Ltd,539252.0,SCFL,
Signet Industries Ltd,512131.0,SIGNETIND,
Shri Keshav Cements & Infra Ltd,530977.0,SKCIL,
SKP Bearing Industries Ltd,,SKP,SKP
Stovec Industries Ltd,504959.0,STOVACQ,
Sundaram Multi Pap Ltd,533166.0,SUNDARAM-BE,
Systango Technologies Ltd,,SYSTANGO,SYSTANGO
Taneja Aerospace & Aviation Ltd,522229.0,TANAA,
Tinna Rubber & Infrastructure Ltd,530475.0,TINNARUBR,
Titan Biotech Ltd,524717.0,TITANBIO,
Titan Securities Ltd,530045.0,TITANSEC,
Ultramarine & Pigments Ltd,506685.0,ULTRAMAR,
Uma Exports Ltd,543513.0,UMA-SM,
Veritas (India) Ltd,512229.0,VERITAS,
V-Marc India Ltd,,VMARCIND,VMARCIND
Waaree Renewables Technologies Ltd,534618.0,WAAREERTL,
Wardwizard Innovations & Mobility Ltd,538970.0,WARDINMOBI,
White Organic Agro Ltd,513713.0,WHITEORG,
